,Latitud,Ano,Mes,Dia,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,Topoforma,Topoforma_cod
0,21.88,2019.0,3.0,2.0,-102.72,28.94238,8.73407,28.94238,8.73407,18.08676,18.08676,Valle,9
1,22.0,2019.0,3.0,2.0,-102.2,28.2049,9.204830000000001,28.2049,9.204830000000001,18.13934,18.13934,Llanura,4
2,21.78,2019.0,3.0,2.0,-102.37,28.84955,8.93924,28.84955,8.93924,18.42719,18.42719,Valle,9
3,21.96,2019.0,3.0,2.0,-102.35,28.47696,8.55161,28.47696,8.55161,17.89545,17.89545,Llanura,4
4,22.2,2019.0,3.0,2.0,-102.14,28.169340000000002,9.50174,28.169340000000002,9.50174,18.25198,18.25198,Sierra,8
5,21.96,2019.0,3.0,2.0,-102.7,28.78381,8.55542,28.78381,8.55542,17.89435,17.89435,Valle,9
6,22.16,2019.0,3.0,2.0,-102.55,28.246340000000004,8.148530000000001,28.246340000000004,8.148530000000001,17.37817,17.37817,Meseta,6
7,21.86,2019.0,3.0,2.0,-102.66,28.87698,8.65741,28.87698,8.65741,18.10492,18.10492,Valle,9
8,21.79,2019.0,3.0,2.0,-102.8,29.3623,9.12524,29.3623,9.12524,18.42825,18.42825,Valle,9
9,22.31,2019.0,3.0,2.0,-102.17,28.192259999999997,9.29031,28.192259999999997,9.29031,18.08426,18.08426,Llanura,4
10,22.17,2019.0,3.0,2.0,-102.29,28.175629999999998,8.621830000000001,28.175629999999998,8.621830000000001,17.67328,17.67328,Llanura,4
11,21.92,2019.0,3.0,2.0,-101.97,27.93088,10.26791,27.93088,10.26791,18.70374,18.70374,Llanura,4
12,21.71,2019.0,3.0,2.0,-102.28,28.84998,9.425139999999999,28.84998,9.425139999999999,18.801479999999998,18.801479999999998,Llanura,4
13,22.23,2019.0,3.0,2.0,-102.44,28.08765,8.17639,28.08765,8.17639,17.28247,17.28247,Meseta,6
14,22.14,2019.0,3.0,2.0,-102.42,28.233,8.21603,28.233,8.21603,17.450779999999998,17.450779999999998,Cuerpo de agua,2
15,22.13,2019.0,3.0,2.0,-102.36,28.233340000000002,8.357999999999999,28.233340000000002,8.357999999999999,17.55078,17.55078,Meseta,6
16,22.0,2019.0,3.0,2.0,-102.67,28.69684,8.43924,28.69684,8.43924,17.80762,17.80762,Valle,9
17,22.12,2019.0,3.0,2.0,-102.51,28.29587,8.12582,28.29587,8.12582,17.42615,17.42615,Meseta,6
18,21.75,2019.0,3.0,2.0,-102.17,28.45267,9.78555,28.45267,9.78555,18.81329,18.81329,Llanura,4
19,21.84,2019.0,3.0,2.0,-102.71,29.00726,8.79996,29.00726,8.79996,18.19891,18.19891,Valle,9
20,21.78,2019.0,3.0,2.0,-102.1,28.21927,10.035219999999999,28.21927,10.035219999999999,18.83069,18.83069,Llanura,4
21,22.08,2019.0,3.0,2.0,-102.27,28.228270000000002,8.74612,28.228270000000002,8.74612,17.823179999999997,17.823179999999997,Llanura,4
22,22.22,2019.0,3.0,2.0,-102.17,28.169859999999996,9.31339,28.169859999999996,9.31339,18.11771,18.11771,Sierra,8
23,21.88,2019.0,3.0,2.0,-102.46,28.69073,8.50778,28.69073,8.50778,18.01587,18.01587,Valle,9
24,22.1,2019.0,3.0,2.0,-102.07,28.07556,9.87936,28.07556,9.87936,18.46515,18.46515,Llanura,4
25,22.24,2019.0,3.0,2.0,-102.09,28.21735,9.7644,28.21735,9.7644,18.45068,18.45068,Sierra,8
26,21.9,2019.0,3.0,2.0,-102.31,28.506809999999998,8.784939999999999,28.506809999999998,8.784939999999999,18.07816,18.07816,Llanura,4
27,22.02,2019.0,3.0,2.0,-102.0,27.96994,10.12613,27.96994,10.12613,18.56387,18.56387,Llanura,4
28,22.04,2019.0,3.0,2.0,-101.89,27.94742,10.31152,27.94742,10.31152,18.66711,18.66711,Llanura,4
29,21.9,2019.0,3.0,2.0,-101.99,27.953429999999997,10.23953,27.953429999999997,10.23953,18.71204,18.71204,Llanura,4
30,21.89,2019.0,3.0,2.0,-102.11,28.1134,9.812619999999999,28.1134,9.812619999999999,18.52695,18.52695,Lomer?o,5
31,21.91,2019.0,3.0,2.0,-102.13,28.133670000000002,9.68518,28.133670000000002,9.68518,18.44211,18.44211,Llanura,4
32,22.08,2019.0,3.0,2.0,-102.09,28.07358,9.78629,28.07358,9.78629,18.405820000000002,18.405820000000002,Lomer?o,5
33,21.97,2019.0,3.0,2.0,-102.58,28.62558,8.33084,28.62558,8.33084,17.79489,17.79489,Meseta,6
34,21.87,2019.0,3.0,2.0,-102.47,28.71497,8.52615,28.71497,8.52615,18.04492,18.04492,Valle,9
35,21.8,2019.0,3.0,2.0,-102.27,28.624509999999997,9.188839999999999,28.624509999999997,9.188839999999999,18.46088,18.46088,Llanura,4
36,21.73,2019.0,3.0,2.0,-102.28,28.80573,9.36273,28.80573,9.36273,18.72241,18.72241,Llanura,4
37,21.81,2019.0,3.0,2.0,-102.13,28.24768,9.846860000000001,28.24768,9.846860000000001,18.68939,18.68939,Lomer?o,5
38,21.73,2019.0,3.0,2.0,-102.45,29.04337,9.00574,29.04337,9.00574,18.5976,18.5976,Lomer?o,5
39,21.76,2019.0,3.0,2.0,-102.3,28.782009999999996,9.19662,28.782009999999996,9.19662,18.57657,18.57657,Llanura,4
40,21.87,2019.0,3.0,2.0,-102.35,28.61951,8.72141,28.61951,8.72141,18.11407,18.11407,Llanura,4
41,21.78,2019.0,3.0,2.0,-102.52,28.95782,8.79303,28.95782,8.79303,18.37531,18.37531,Valle,9
42,21.89,2019.0,3.0,2.0,-102.83,29.203740000000003,9.04434,29.203740000000003,9.04434,18.19073,18.19073,Meseta,6
